x,y
2.000000000000000000e+00,-1.899999999999999911e+00
4.000000000000000000e+00,-1.600000000000000089e+00
6.000000000000000000e+00,-1.550000000000000044e+00
8.000000000000000000e+00,-1.550000000000000044e+00
1.000000000000000000e+01,-1.350000000000000089e+00
1.200000000000000000e+01,-6.999999999999999556e-01
1.400000000000000000e+01,-2.000000000000000111e-01
1.600000000000000000e+01,5.000000000000000000e-01
1.800000000000000000e+01,9.000000000000000222e-01
2.000000000000000000e+01,1.100000000000000089e+00
2.200000000000000000e+01,1.350000000000000089e+00
2.400000000000000000e+01,1.500000000000000000e+00
2.600000000000000000e+01,1.600000000000000089e+00
2.800000000000000000e+01,1.699999999999999956e+00
3.000000000000000000e+01,1.750000000000000000e+00
